,Time,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
S1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
S2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S3,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
S4,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1
S5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
S6,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S9,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
S10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
S11,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0
S12,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0
S13,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
S14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
S15,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
S16,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
S17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S18,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
S19,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
S20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S21,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
S22,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1
S23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S24,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1
S25,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
S26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S27,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
S28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S29,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
S30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S31,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
S32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S33,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
S34,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
S35,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
S36,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0
S37,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
S38,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
S39,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
S40,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
S41,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
